"",company_name,website,Email,phone_no_0,phone_no_1,phone_no_2,phone_no_3,phone_no_4,phone_no_5,phone_no_6,phone_no_7,phone_no_8,phone_no_9
224,Dakhina Real Estate (Pvt.) Ltd.,http://www.dhakinagroup.com/,syedazam.1960@gmail.com,880248955456,8801842861466,8801975995300,8801713142907,"","","","","",""
225,Darul Islam Housing Ltd.,http://www.makangroup-bd.com/,mr.ismail77@yahoo.com,88029102953,9133797,8801922599191,9138129,"","","","","",""
226,Darul Makan Housing Limited,http://www.makangroup-bd.com/,mr.ismail77@yahoo.com,88029134129,9102953,8801776124761,"","","","","","",""
227,Daulat Properties Ltd.,http://www.daulatpropertiesltd.com/,info@daulatpropertiesltd.com,8802222285820,"","","","","","","","",""
228,Day Night Builders International Ltd.,"",day-night@yahoo.com,8029886624,8835592,"","","","","","","",""
229,Dayem Developer Ltd.,"",jishanusa@gmail.com,8801674820441,"","","","","","","","",""
230,DBL Dream Builders Ltd.,http://www.dbldreambuildersltd.com/,dbldreambuildersltd@gmail.com,2226663181,8801720170462,"","","","","","","",""
231,Debonair Properties Ltd.,"",dpl@bijoy.net,8801712926466,8801308341921,"","","","","","","",""
232,Decent Holdings Ltd.,http://www.decent-bd.com/,decentholding@gmail.com,222226671,222222894,"","","","","","","",""
233,Delight Homes Ltd.,http://www.delighthomesltd.com/,infodelighthomesltd@gmail.com,8801707304487,"","","","","","","","",""
234,Development Avenue (Pvt.) Ltd.,http://www.avenuedaplbd.com/,developmentavenue@gmail.com,+88027742733,"","","","","","","","",""
235,Development Entrepreneurs Limited,http://www.delvistaa.com/,del@delvistaa.com,"","","","","","","","","",""
236,Devise Holdings Ltd.,http://www.devisebd.com/,info@devisebd.com,880296658602,9665859,"","","","","","","",""
237,Dew Real Estate & Development Ltd.,"",dewgp@bdonline.ctg.com,312856845,"","","","","","","","",""
238,DFL Properties Limited,http://www.dflbd.com/,dflproperties@gmail.com,880248319308,"","","","","","","","",""
239,Dhaka Asset Developments Ltd.,http://www.dhakaasset.com.bd/,info@dhakaasset.com.bd,8955709,"","","","","","","","",""
240,Dhaka Modern City Ltd,http://www.dhakamoderncity.com/,dhakamoderncity@gmail.com,8802410103019,"","","","","","","","",""
241,Dhaka Nibash Developments And Housing Ltd.,http://www.dhakanibash.com/,dhakanibashltd@yahoo.com,7173405,9344921,"","","","","","","",""
242,Digital Landmark Ltd.,"",mdjoinalddl@gmail.com,8801771003388,"","","","","","","","",""
243,Digital Park Limited,http://digitalparkltd.com.bd/,dpl.bd.info@gmail.com,8801715231397,"","","","","","","","",""
244,Dihan Shah Properties Ltd.,https://www.dihanshah.com/,dihanshahproperties@gmail.com,880248956505,8801711636166,"","","","","","","",""
245,Diniah Builders Ltd.,http://www.adldbl.com/,diniahbuildersltd@gmail.com,8801732041053,"","","","","","","","",""
246,Dipti Abason Limited,http://www.diptiabasonltd-bd.com/,diptiabasonltd.08@gmail.com,88029022712,8801712254275,"","","","","","","",""
247,Disha Engineering Limited,"",disha.enggltd@gmail.com,8801711400475,"","","","","","","","",""
248,Dishari Real Estate & Development Company Ltd.,http://www.disharigroup.com/,disharirdcl@gmail.com,8801915544434,"","","","","","","","",""
249,Disney Properties Ltd.,http://www.pgbd.org/,pacific@pacificgroupbd.com,8855523,58817882,"","","","","","","",""
250,Dolmen Developments Ltd.,http://www.dolmendevelopments.com/,info@dolmendevelopments.com,88028189741,"","","","","","","","",""
251,Dom-Inno Builders Ltd.,http://www.dominno-bd.com/,wecare@dominno-bd.com,9612119999,8801885000300,550426369,8801817046989,"","","","","",""
252,Dom-Inno Construction Ltd.,http://www.dominno-bd.com/,wecare@dominno-bd.com,9612119999,8801885000300,550426369,8801817046989,"","","","","",""
253,Dom-Inno Properties Limited,http://www.dominno-bd.com/,wecare@dominno-bd.com,9612119999,8801885000300,550426369,8801817046989,"","","","","",""
254,Domicile Design & Builders Limited,http://www.domicile.com.bd/,info@domicile.com.bd,880255033807,880255033808,880255033809,8801550006606,8801550006563,"","","","",""
255,Dominant Homes Ltd.,http://www.dominantgroup.net/,info@dominantgroup.net,88029821145,9821146,9820110,"","","","","","",""
256,Dominant Real Estate Ltd.,http://www.dominantgroup.net/,info@dominantgroup.net,8802982114546,982011011,"","","","","","","",""
257,Dominion Properties Limited,http://www.dominionbd.com/,md.dominionbd@gmail.com,+88 02 8001188,"","","","","","","","",""
258,Doreen Developments Limited,http://www.doreendevelopments.com/,info@doreendevelopments.com,88029882019,9896220,"","","","","","","",""
259,Doric Homes Ltd.,http://www.dorichomes.net/,doric_homes@yahoo.com,8801811413031,"","","","","","","","",""
260,Doyel Development Properties Ltd.,http://www.ddpl.com.bd/,doyeldpltd@gmail.com,9617223355,8801713206122,"","","","","","","",""
261,DQL Developers Ltd.,http://www.dqi-bd.com/,dqldev@gmail.com,88029611059,"","","","","","","","",""
262,Dream Dhaka Property Ltd .,http://www.dreamdhaka.com/,dreamdhakapl@gmail.com,8801713107494,880248814408,"","","","","","","",""
263,Dream World Park (Pvt.) Ltd.,http://www.dreamworldgroupbd.com/,dreamworldpdl@gmail.com,8801857408143,8801857408146,"","","","","","","",""
264,Dreampark Development Ltd.,http://www.dreamparkbd.com/,dreamparkbd@gmail.com,8953403,"","","","","","","","",""
265,Dunlop Design And Developments Ltd.,"",dunloppddl@gmail.com,248963308,"","","","","","","","",""
266,Durable Development Limited,"",durabledevelopment@gmail.com,8801854949232,"","","","","","","","",""
267,Dwell Properties Development Limited,"",dwell@proslikanet-ctg.com,312550994,"","","","","","","","",""
268,Dynasty Developments Ltd.,http://www.dynastybd.com/,dynasty_developments@yahoo.com,880258311577,8801713039131,"","","","","","","",""
269,Earth Properties Ltd.,http://www.earthpropertiesbd.com/,earthpropertiesbd@gmail.com,88025853333,9126066,9133232,"","","","","","",""
270,East Delta Holdings Limited,"",meyazi79@gmail.com,88020173232505,"","","","","","","","",""
271,East West Property Development (Pvt.) Ltd.,http://www.bashundharahousing.com/,ewpd@bgc-bd.com,8801819226005,9611800000,"","","","","","","",""
272,Eastern Housing Ltd.,http://www.easternhousing.com/,info@easternhousing.com,55033669,8801713060920,"","","","","","","",""
273,Eco Homes Ltd.,"",ecohltd@gmai.com,8801711520518,"","","","","","","","",""
274,Eden Properties Ltd.,"",edenpropertiesltd@gmail.com,8801791719382,8801552404826,8801711534417,"","","","","","",""
275,Edison Properties Ltd.,https://www.edison-properties.com/,infoproperties@edison-bd.com,88028878057,8878058,"","","","","","","",""
276,Edison Real Estate Ltd.,https://www.edisonrealestatebd.com/,hello@edisonrealestatebd.com,"","","","","","","","","",""
277,Ekushey Homes Limited,"",ekusheyhomes@hotmail.com,8802841077680,"","","","","","","","",""
278,EL Dorado Developments Ltd.,http://www.eldoradorbd.com/,info@eldoradorbd.com,88028833671,"","","","","","","","",""
279,El Dorado Holdings Ltd.,http://www.eldoradoholdingsltd.com/,"",8801709964401,"","","","","","","","",""
280,Elegance Development & Properties (Pvt.) Ltd.,http://www.elegancebd.com/,elegance.bd@gmail.com,8801819317274,8801671675715,"","","","","","","",""
281,Elevation Properties Ltd.,"",elevationpro59@gmail.com,"",996611352,"","","","","","","",""
282,Emaa Real Estate Ltd.,"",emaarealestateltd@gmail.com,8801716671560,"","","","","","","","",""
283,Emerald Foundation Ltd.,http://www.efibd.com/,efldeveloper@gmail.com,662606070,88029102154,9101316,"","","","","","",""
284,Eminent Properties (Pvt.) Ltd.,http://www.eminent.com.bd/,eplbdinfo@gmail.com,880255123954,"","","","","","","","",""
285,Emirate Real Estate Ltd.,http://www.emiraterealsetatebd.com/,info@emiraterealestatebd.com,880298598356,88346112,8801715111732,"","","","","","",""
286,Empire Estate Builders (Pvt.) Ltd.,"",nansh.corporation@gmail.com,8801759199272,"","","","","","","","",""
287,Ena Properties Limited,http://www.enaproperties.com/,info@enaproperties.com,880258151280,"","","","","","","","",""
288,Ensure Landmark Ltd.,http://www.ensuregroup.com.bd/,info@ensuregroup.com.bd,8801611420245,"","","","","","","","",""
289,Epic Properties Limited,http://www.epicpl.com/,Sales@epicpl.com,3128648015,"","","","","","","","",""
290,Equity Property Management Pvt. Ltd.,http://www.equity.com.bd/,info@equity.com.bd,2334451993,8801819311957,"","","","","","","",""
291,Esquire Apartments Limited,http://www.esquireapartmensltd.com/,hello@esquireapartmentsltd.com,8809639121222,8801871002000,"","","","","","","",""
292,Essence Property Limited,"",essencepropertyltd@yahoo.com,88028931145,8801716599662,"","","","","","","",""
293,Eternal Design & Developments Ltd.,http://www.etarnalgroupbd.com/,info@eternalgroupbd.ocm,880312552235,"","","","","","","","",""
294,Eureka Homes Ltd.,http://www.eurekahomesltd.com/,md.eurekahomes@gmail.com,8802222262993,8801317803060,"","","","","","","",""
295,Excel Real Estate & Development Limited,http://www.excelredlbd.com/,excelredl@gmail.com,8801712595305,"","","","","","","","",""
296,Exclusive Property Management Ltd.,"",exclusivebdctg@yahoo.com,88031627646,"","","","","","","","",""
297,Exotica Homes Limited.,http://www.exotica-group.com/,info.exoticahomes@gmail.com,880255120202,880255120203,"","","","","","","",""
298,Fair Face Holdings Ltd.,http://www.fairfaceholdings.com/,fairfaceholdingsltd@gmail.com,8801711356219,"","","","","","","","",""
299,Falcon Homes Ltd.,http://www.falcon-homes.com/,falconhomes87@gmail.com,880248812907,8801674350470,8801774693386,"","","","","","",""
300,Family Housing Estate Ltd,"",familyhousingestate@gmail.com,222200564,"","","","","","","","",""
301,Fann Consultants & Developers Ltd .,http://www.fanndevelopers.com/,fanncdl2011@yahoo.com,88028331982,8322828,8801928459714,8801928459715,"","","","","",""
302,FAR Holdings Ltd.,http://www.farholdings.com/,farholdingsltd@gmail.com,88028715702,8801749771035,"","","","","","","",""
303,Fare Builders Ltd,http://www.farebuilders.com.bd/,fare_builders@yahoo.com,88029632595,"","","","","","","","",""
304,Fars Holdings & Associates Ltd.,"",fars_holding@yahoo.com,8350780,8591455,8801711544521,"","","","","","",""
305,Fast Development Ltd.,"",fdl_bd@yahoo.com,8801308878044,8801794617272,"","","","","","","",""
306,Fine Homes Ltd,http://www.finehomes.com/,finehomesltd@yahoo.com,8801706314101,8801706314105,"","","","","","","",""
307,Finlay Properties Limited.,http://www.finlayproperties.com/,info@finlayproperties.com,"",8801713376376,"","","","","","","",""
308,First Surety Construction Ltd.,http://www.fsclbd.com/,info@fsclbd.com,8801733524466,"","","","","","","","",""
309,FM Properties Limited,http://www.fmproperties.com.bd/,technokoki@metrocombd.com,8845309,8845315,8401270,"","","","","","",""
310,Friends Realty Limited,https://www.friendsestates.com/,friendsreal2011@gmail.com,8801753360110,"","","","","","","","",""
311,G.A Foundation Ltd.,http://www.gafoundationltd.com/,gadocuments2011@gmail.com,88029014493,"","","","","","","","",""
312,Garden Properties Ltd.,"",gardenproperties1998@gmail.com,8801711120288,8801761616164,8801911828779,"","","","","","",""
313,GasMin Limited,http://www.gasmin.com/,rahman@gasmin.com,88028614565,8622605,"","","","","","","",""
314,Gawsia Developers Limited,http://www.gawsia.com/,anamule@gawsia.com,880241070449,41070450,8801841222234,"","","","","","",""
315,Gazi Bangladesh Limited,"",gazigroup@yahoo.com,88028144440,"","","","","","","","",""
316,GBB Properties Ltd.,http://www.gbb.com.bd/,properties@gbb.com.bd,880258613322,880258615815,8801819255147,"","","","","","",""
317,Gemcon City Limited,http://www.gemconcity.com/,info@gemconcity.com,884102059602,"","","","","","","","",""
318,Genetic Limited,http://www.geneticlimited.com/,geneticlimitedbd@gmail.com,8802222264254,8802222291305,8801943434343,"","","","","","",""
319,Genusys Ltd.,http://www.genusys.com.bd/,sh@genusys.us,8809611888444,"","","","","","","","",""
320,Ghazi Real Estate Ltd.,http://www.ghazirealestate.com/,info@ghazirealestate.com,2589903271,8801711786682,"","","","","","","",""
321,GLG Assets Ltd.,http://www.glgassets.com/,info@glgassets.com,"",8801713178623,"","","","","","","",""
322,Glorious Lands And Delopments Limited,http://www.krishibidgroup.com/,mkt@krishibidgroup.com,88028050828,"","","","","","","","",""
323,Glory Real Estate Ltd.,http://www.grelbd.com/,info@grelbd.com,88029116328,"","","","","","","","",""
324,GM Apartment Ltd.,"",gmapt2008@gmail.com,8801756168384,8801713452865,"","","","","","","",""
325,GM Holdings Ltd,http://www.gmhl.com.bd/,shahinoor@gmail.com.bd,880258816731,58816763,58810856,58810910,"","","","","",""
326,Gold Hunt Development Limited,http://www.gold-hunt.com/,goldhuntbd@yahoo.com,2222229267,"","","","","","","","",""
327,Gold Silver Homes Ltd.,http://www.silverdevelopersltd.com/,silverdevelopersltd@gmail.com,8801713026500,"","","","","","","","",""
328,Good Luck Real Estates Limited,http://www.sblbd.net/,sbl@bdmail.net,88029558737,"","","","","","","","",""
329,Grand Properties Ltd.,http://www.grandpropertiesltd.com/,sales@grandpropertiesltd.com,88029833088,9833089,9833133,"","","","","","",""
330,Great Walls Land Property Limited,http://www.greatwallsbd.com/,info@greatwallsbd.com,88028411317,"","","","","","","","",""
331,Greeha Nirman Builders Ltd.,"","",88028033014,"","","","","","","","",""
332,Green Bay Developments Ltd.,http://www.greenbaydevelopments.com.bd/,greenbay.development@gmail.com,88029143881,"","","","","","","","",""
333,Green Bird Properties Ltd.,http://www.greenbird.com.bd/,greenbirdproperties@gmail.com,8809678771461,8809678771543,"","","","","","","",""
334,Green Hut Real Estate Co.Ltd.,http://www.greenhutrealestate.com/,greenhutrealestate@gmail.com,8801701465681,8801701465679,8801979980231,8801779980231,"","","","","",""
335,Green Land Town Development Ltd.,http://www.greenlandtownbd.com/,greenlandtownbd@gmail.com,9872829,9872831,8801730062320,"","","","","","",""
336,Green Peak Holdings Ltd.,http://www.greenpeakholdingsbd.com/,info@greenpeakbd.com,+44806874,"","","","","","","","",""
337,Greenbangla Homes Ltd,http://www.greenbanglabd.com/,greenbanglahl@yahoo.com,88029558544,88029568620,8801716918189,"","","","","","",""
338,Greenland Stonevills Ltd.,"",haque-titas@gmail.com,88029899762,"","","","","","","","",""
339,GREENWOOD Developments Limited,http://www.bdgreenwood.com/,info@bdgreenwood.com,880258070234,58070662,58070134,8801713461250,"","","","","",""
340,H.B.S. Associates (Pvt.) Limited,"",hbspvtltd@gmail.com,8801819313857,"","","","","","","","",""
341,H.I. Technology & Properties LTd.,http://www.higroup-bd.com/,hitplhossain@yahoo.com,880241022300,41022301,41022307,8801715110448,"","","","","",""
342,Habitat Builders Limited,http://www.habitatbuilders.net/,habitatbuilders@petrochembd.com,880279117013,"","","","","","","","",""
343,Haji Gafur Land Developers Ltd.,http://www.amuliamodeltown.com/,jass@bol-online.com,88029590599,9577026,"","","","","","","",""
344,Hamdan Properties Management (Pvt.) Limited,http://www.hamdanpropertiesbd.com/,hamdan_07ctg@yahoo.com,31610059,"","","","","","","","",""
345,Hamid Real Estate Construction Ltd.,http://www.hamidgroup.com/,sales@hamidgroup.org,88029121900,9871771,"","","","","","","",""
346,Hamlet Builders Limited,"",hamletbuildersltd@gmail.com,312557702,"","","","","","","","",""
347,Haque Home & Builders Ltd.,http://www.haquegroup.com.bd/,haquegroup16@gmail.com,8809678 771442,29613251,29613359,8801715052805,"","","","","",""
348,Hasan Housing (Pvt.) Ltd.,http://www.hhl-bd.com/,info@hhpl.net,8802333367602,8801727014500,"","","","","","","",""
349,Hassan And Associates Limited,http://www.hal-bd.com/,sales@hal-bd.com,88028319557,"","","","","","","","",""
350,Hatil Holdings Limited,http://www.hatilholdings.com/,mizan@hatil.com,9606990033,8801711537702,"","","","","","","",""
351,Haveli Property Development Ltd.,http://www.haveligroupbd.com/,haveligroupdhaka@gmail.com,01793 333555,01400 331933,880258156512,880258156560,8801302556848,"","","","",""
352,HB Real Estate Ltd.,http://www.hbrealestateltd.com/,hbrealestateltd@gmail.com,8801711866620,"","","","","","","","",""
353,Headway Holdings (Pvt) Ltd.,"","",8618729,3772008882,8801711130092,"","","","","","",""
354,Heritage Assets Ltd.,https://www.heritageassetsltd.com/,info@heritageassetsltd.com,88029565234,9565235,"","","","","","","",""
355,Heritage Real Estate Ltd.,http://www.helbd.com/,Miraz_100@yahoo.com,8801833314162,88028124093,"","","","","","","",""
356,Hilton Properties Ltd.,"",hiltonctg09@yahoo.com,880312510185,8801919160106,"","","","","","","",""
357,Hivertech Limited,http://www.hivertechbd.com/,info@hivertechbd.com,88028119731,8117707,8125165,"","","","","","",""
358,HL Real Estate Ltd,"",info@purbachalhlcity.com,8319452,9339795,"","","","","","","",""
359,HLM Developer & Builders Ltd.,http://www.%20hlmdeveloperandbuilders.com/,info@hlmdeveloperandbuilders.com,88028105026,8125330,"","","","","","","",""
360,Holy Homes Real Estate Limited,"",holyhomes2011@yahoo.com,29883973,"","","","","","","","",""
361,Holy Land Developers Limited,http://www.holylanddevelopers.com/,holyland.developers@gmail.com,8801711383687,8801919638123,"","","","","","","",""
362,Home Trust Living Limited,http://www.hometrustliving.com/,hometrustzaman@gmail.com,88028828429,8828402,"","","","","","","",""
363,Homes 71 Limited,http://www.homes71.com.bd/,homes_71@yahoo.com,8801991140200,8801991140201,8801943444111,"","","","","","",""
364,Homestead Real Estate Ltd.,http://www.homesteadbd.com/,homesteadbd@yahoo.com,8801716717324,8801932999400,"","","","","","","",""
365,Hometech Developer And Builder Limited,http://www.hometechdbl.com.bd/,hometechbd@dhaka.net,8801648911114,8802226621550,48814633,"","","","","","",""
366,Hope Homes Ltd.,http://www.hopehomesltd.com/,hopehomesltd@gmail.com,29102428,9103593,"","","","","","","",""
367,Hossain Real Estate Ltd.,"","",88028355180,"","","","","","","","",""
368,House Stone Limited,http://www.housestonebd.com/,housestone31@gmail.com,8801712127236,8801819223515,88028399550,"","","","","","",""
369,Humayun Rashid Real Estate Ltd.,http://www.hrrl.com.bd/,"",880257314595,8801978815501,8801978815506,8801914190668,"","","","","",""
370,Hybrid Resources (Pvt.) Ltd.,http://www.hybridbd.com/,hybridcitybd@gmail.com,8801833327800,8801733941717,"","","","","","","",""
371,Hyperion Builders Ltd.,http://www.hyperion-bd.com/,salamhyperion@gmail.com,88029016855,8801817031625,"","","","","","","",""
372,Hyperion Design and Development Ltd.,http://www.hddlbd.com/,infohddlbd@gmail.com,8801817146188,"","","","","","","","",""
373,Icon Housing & Builders Ltd.,http://www.icongroupbd.com/,info@icongroupbd.com,88029337913,8319464,"","","","","","","",""
374,Ideal Asset Development Ltd .,"",nahim.razzaq@gmail.com,88029847288,"","","","","","","","",""
375,Ideal Home Builders Limited,"",idealhome@dhaka.net,88029361663,"","","","","","","","",""
376,IDS Address Maker Ltd.,http://www.idsaddressmaker.com/,idsaddressmaker@yahoo.com,8801794640229,8801714052259,2983672526,"","","","","","",""
377,Ifty Construction (Pvt.) Ltd.,"","",88027125424,"","","","","","","","",""
378,Imagine Developments Ltd.,http://www.imaginepropertiesltd.com/,info@imaginepropertiesltd.com,88029843226,9846696,"","","","","","","",""
379,Imagine Properties Limited,http://www.imaginepropertiesltd.com/,info@imaginepropertiesltd.com,2222283226,"","","","","","","","",""
380,Imovel Properties Limited,http://www.imovelbd.com/,imovel_properties@yahoo.com,8410817,"","","","","","","","",""
381,Imparo Ventures Limited,http://www.imparoventures.com/,info@imparoventures.com,8809678771457,8801846777969,"","","","","","","",""
382,Imperial Apartment Design Limited,"",trimline_adl@hotmail.com,88028111031,"","","","","","","","",""
383,Imperial Consultants and Development Ltd.,http://www.imp-bd.com/,imperial136@gmail.com,41021406,41021407,41021408,41021409,41021410,"","","","",""
384,Imperial Development & Holdings Limited,http://www.imperialdevelopmentbd.com/,idhl_bd@yahoo.com,88029124363,88029124370,"","","","","","","",""
385,Imperial Real Estate Limited,http://www.irelbd.com/,mznbd@yahoo.com,8801713003340,"","","","","","","","",""
386,Impress Holdings Ltd,"",monirul.kabirctg735@gmail.com,88031658149,8801817201735,"","","","","","","",""
387,Impulse Properties Ltd.,http://www.impulsepropertiesbd.com/,impulsepropertieslimited@gmail.com,8801966623281,"","","","","","","","",""
388,Inbuild Real Estate Ltd.,http://www.inbuildbd.com/,inbuildbd@gmail.com,8801715194335,8801711487499,"","","","","","","",""
389,Index Construction Limited,http://www.index-companies.com/,info@index-construction.com,88029847141,88029846442,880258817175,"","","","","","",""
390,Index Development Limited,http://www.index-bd.com/,info@index-bd.com,88029891990,9887611,"","","","","","","",""
391,Index Properties Ltd.,http://www.index-bd.com/,indexproperties.info@gmail.com,88029891990,9887611,"","","","","","","",""
392,Index Real Estate Ltd.,"","",88029887611,"","","","","","","","",""
393,Innova Properties Limited,"",innovapropltd@gmail.com,9884372,8812883,8991801,"","","","","","",""
394,Innovative Holdings Ltd.,http://www.purbachaleastwoodcity.com/,chairman_ihl@yahoo.com,"",55035274,8801830117777,"","","","","","",""
395,Innovera Holdings Limited,http://www.innovera.com.bd/,innoveraholdings@gmail.com,8802222298965,"","","","","","","","",""
396,InnStar Ltd.,http://www.innstar.com.bd/,info@innstarbd.com,880255033601,"","","","","","","","",""
397,Insaf Housing & Developers Ltd.,http://www.insafgroupbd.com/,insafcomilla@gmail.com,8166081,"","","","","","","","",""
398,Inspiration Development Company Ltd.,"",designvision1998@gmail.com,8801711005999,"","","","","","","","",""
399,Inspired Development Ltd.,http://www.probashipalli.com.bd/,info@probashipalli.com,88028859616,"","","","","","","","",""
400,Intech Properties Ltd.,http://www.intechproperties.com.bd/,info@intechproperties.com.bd,8801817380225,248039780,"","","","","","","",""
401,Intex Builders Limited,http://www.intexbd.com/,info@intexbd.com,8802222290369,8802222290365,8801841071101,"","","","","","",""
402,Intex Properties Ltd.,http://www.intexbd.com/,info@intexbd.com,8802222290369,8802222290365,"","","","","","","",""
403,Ionic Properties Ltd.,"","",88029345850,"","","","","","","","",""
404,Irving Properties Ltd,http://www.irvingpropertiesbd.com/,irvinggrp@gmail.com,222221490,222221452,222220925,"","","","","","",""
405,Isahoque Developers Ltd.,http://www.idl.com.bd/,info@idl.com.bd,8801301498214,"","","","","","","","",""
406,Ivory Builders Limited,"",ivory@intechworld.net,88029553715,8801740554747,"","","","","","","",""
407,J & H Holdings Ltd,http://www.jandhholdings.com/,info@jandhholdings.com,8801887334444,"","","","","","","","",""
408,J & J International Holdings Limited.,http://www.jnj-bd.com/,jenergy@bdmail.net,88029894142,88029854818,88029849028,"","","","","","",""
409,J. M. Developers Limited,http://www.jmdevelopersltd.com/,jmi_ltd@yahoo.com,880255071610,"","","","","","","","",""
410,Jams Construction Ltd.,http://www.jamsgroup.org/,info@jamsgroup.org,410820034,"","","","","","","","",""
411,Jams Developments Ltd.,http://www.jamsgroup.org/,info@jamsgroup.org,410820034,"","","","","","","","",""
412,Jap Properties Ltd.,http://www.japlbd.com/,jap.sprl@gmail.com,2333353795,8801714102003,"","","","","","","",""
413,Japan Garden City Ltd.,http://www.jgclbds.com/,mwahiduzzaman@gmail.com,880255015156,880255015157,"","","","","","","",""
414,Japasty Company Ltd.,http://www.japasty.com/,japasty@yahoo.com,88028431072,"","","","","","","","",""
415,JBS Holdings Limited,http://www.jbsholdingsbd.com/,jbsholdingsbd@gmail.com,8801712676437,8801707194400,"","","","","","","",""
416,JCX Developments Limited,http://www.jcxbd.com/,md@jcxbd.com,8801755066666,"","","","","","","","",""
417,Jets Development Ltd.,http://www.jetsdevelopmentbd.com/,jetsdevelopment.ltd2016@gmail.com,88029124561,"","","","","","","","",""
418,JMI Builders & Construction Ltd.,http://www.jmigroup-bd.com/,info@jmigroup-bd.com,9333102,9346630,8318375,"","","","","","",""
419,Joytun Developers Ltd.,http://www.joytundevelopers.com/,joytundevelopers@gmail.com,8802222287581,8801711592987,"","","","","","","",""
420,JS Builders Limited,http://www.jsbuildersltd.com/,jsbuildersltdofficial@gmail.com,8801819389606,8801727239975,"","","","","","","",""
421,Jumairah Holdings Ltd.,"",jumairahholdings-ctg@yahoo.com,2334452682,"","","","","","","","",""
422,Kapotakkha Developments Ltd.,http://www.kapotakkhadevelopments.com/,kapotakkhadevelopments2013@gmail.com,8801711372314,"","","","","","","","",""
423,Kapotakkha Green City Limited,http://www.kapotakkhagroup.com/,info@kpotakkhagreencity.com,88028825641,8825992,9860298,"","","","","","",""
424,Karnafuly Developers (Pvt.) Ltd.,http://www.karnafulygroup.com/,karnafuly.dpl@gmail.com,8801711118298,8801941856261,"","","","","","","",""
425,KBB Developments Limited,http://www.kbbdevelopments.com/,kbbdevelopmentbd@gmail.com,8801715655860,8801842493580,"","","","","","","",""
426,Khan Builders & Development Ltd.,http://www.khanbuilders.com/,info@khanbuildersbd.com,88029354896,"",8801715567777,"","","","","","",""
427,Khulna JH Properties Limited,"",kjhpl.2014@gmail.com,8802477726786,"","","","","","","","",""
428,Kingdom Builders Ltd.,"",kingdombd@hotmail.com,22222618467,"","","","","","","","",""
429,Kirti Holdings Limited,https://www.kirtiholdings.com/,kirtiholdings@gmail.com,880298201389,"","","","","","","","",""
430,Kisholoy Properties Limited,http://www.kisholoybd.com/,kpictg@yahoo.com,2557295,2557296,"","","","","","","",""
431,Kopotakkho Homes Limited,http://www.kopotakkhohomes.com.bd/,info@kopotakkhohomes.com.bd,8801810008010,8801730373080,"","","","","","","",""
432,Kranti Housing Limited,"",khl@bdonline.com,"","","","","","","","","",""
433,Krishibid Properties Ltd.,http://www.krishibidgroup.org.bd/,krishibid@gmail.com,8050828,8051030,9008789,9034033,9034022,"","","","",""
434,Kunjo Developers Ltd.,http://www.kunjodevelopers.com/,kunjodev@gmail.com,2224470020,8801755558027,"","","","","","","",""
435,Kusholi Nirmata Limited,http://www.kusholi-bd.com/,knl_bd@yahoo.com,8801711540481,8802222244136,8802222244137,"","","","","","",""
436,Kutir Nirman Kousholi Ltd.,"",kutirnirman1119@gmail.com,8801713024442,"","","","","","","","",""
437,Lab Aid Properties Limited,http://www.labaidgroup.com/,properties@labaidgroup.com,2410609103,"","","","","","","","",""
438,Lagan Holdings Ltd.,http://www.lagan.com.bd/,laganholdingsltd@gmail.com,8801712651520,"","","","","","","","",""
439,Lameek Development Ltd.,http://www.lameekdevelopment.com/,development@gmail.com,88028881673,"","","","","","","","",""
440,Lanco Developments Ltd.,http://www.lancogroupbd.com/,info@lancogroupbd.com,88025503594647,9611677577,"","","","","","","",""
441,Land Bangla Development Ltd.,http://www.landbanglabd.com/,landbangla@gmail.com,8801995174328,8801904326162,"","","","","","","",""
442,Landmark Development Limited,"",landmarkdevbd@gmail.com,88028120772,"","","","","","","","",""
443,Landmarx Construction & Development Ltd.,http://www.jaazmultimedia.com/,alimullah1@gmail.com,8801727660119,8802222228015,"","","","","","","",""
444,Landtech Properties Limited,http://www.landtechbd.com/,landtechbd@gmail.com,55035646,55035647,8801711548787,8801713018350,"","","","","",""
445,Latif Foundation Limited,"",nasreen.lrel@gmail.com,88017150007438,"","","","","","","","",""
446,Latif Real Estate Ltd.,http://www.lrel-bd.com/,biswas_akter@yahoo.com,8802222281506,8802222280871,8802222281123,8801711547932,8801715090290,"","","","",""
447,Laxmi Builders Ltd.,http://www.laxmibuildersltd.com/,laxmi.builders@yahoo.com,880247117683,47110829,"","","","","","","",""
448,Lea Properties Limited,http://www.leafashionbd.com/,leaproperties@gmail.com,31616905,2862624,"","","","","","","",""
449,Living Homes Real Estate Private Ltd.,http://www.livinghomesrealestatepvtltd.com/,livinghomes2018@gmail.com,8801919491435,8801785852520,"","","","","","","",""
450,Lotus Kamal Properties Ltd.,http://www.lkpropertiesltd.com/,md@lkpropertiesltd.com,88028825292,"","","","","","","","",""
451,Lovely Housing Limited,"",brbcables@gmail.com,88027153507,7155373,58617610,58617611,"","","","","",""
452,Lucent Developments Limited,http://www.lucentbd.com/,licentdevelopments@yahoo.co.uk,31630175,880196770084150,"","","","","","","",""
453,Lucid Developers Ltd.,http://www.lucid-dl.com/,lucid.dl@gmail.com,88028750410,"","","","","","","","",""
