Company Name,Address,links,links-href,Number ,Number1,Number2,Number3,Number4,Cell No,Telephone No
15Y BGTB 21/09/2026,,TB15Y0926,https://dsebd.org/displayCompany.php?name=TB15Y0926,,,,,,,88029530511
15Y BGTB 15/09/2025,,TB15Y0925,https://dsebd.org/displayCompany.php?name=TB15Y0925,,,,,,,88029530511
15Y BGTB 27/08/2029,,TB15Y0829,https://dsebd.org/displayCompany.php?name=TB15Y0829,,,,,,,88029530511
15Y BGTB 29/08/2028,,TB15Y0828,https://dsebd.org/displayCompany.php?name=TB15Y0828,,,,,,,88029530511
15Y BGTB 17/08/2026,,TB15Y0826,https://dsebd.org/displayCompany.php?name=TB15Y0826,,,,,,,88029530511
15Y BGTB 11/08/2025,,TB15Y0825,https://dsebd.org/displayCompany.php?name=TB15Y0825,,,,,,,88029530511
15Y BGTB 28/07/2036,,TB15Y0736,https://dsebd.org/displayCompany.php?name=TB15Y0736,,,,,,,88029530511
15Y BGTB 29/07/2030,,TB15Y0730,https://dsebd.org/displayCompany.php?name=TB15Y0730,,,,,,,88029530511
15Y BGTB 23/07/2029,,TB15Y0729,https://dsebd.org/displayCompany.php?name=TB15Y0729,,,,,,,88029530511
15Y BGTB 24/07/2028,,TB15Y0728,https://dsebd.org/displayCompany.php?name=TB15Y0728,,,,,,,88029530511
15Y BGTB 18/07/2027,,TB15Y0727,https://dsebd.org/displayCompany.php?name=TB15Y0727,,,,,,,88029530511
15Y BGTB 14/07/2025,,TB15Y0725,https://dsebd.org/displayCompany.php?name=TB15Y0725,,,,,,,88029530511
15Y BGTB 29/06/2037,,TB15Y0637,https://dsebd.org/displayCompany.php?name=TB15Y0637,,,,,,,88029530511
15Y BGTB 24/06/2035,,TB15Y0635,https://dsebd.org/displayCompany.php?name=TB15Y0635,,,,,,,88029530511
15Y BGTB 25/06/2029,,TB15Y0629,https://dsebd.org/displayCompany.php?name=TB15Y0629,,,,,,,88029530511
15Y BGTB 19/06/2028,,TB15Y0628,https://dsebd.org/displayCompany.php?name=TB15Y0628,,,,,,,88029530511
15Y BGTB 20/06/2027,,TB15Y0627,https://dsebd.org/displayCompany.php?name=TB15Y0627,,,,,,,88029530511
15Y BGTB 15/06/2026,,TB15Y0626,https://dsebd.org/displayCompany.php?name=TB15Y0626,,,,,,,88029530511
15Y BGTB 09/06/2025,,TB15Y0625,https://dsebd.org/displayCompany.php?name=TB15Y0625,,,,,,,88029530511
15Y BGTB 13/05/2035,,TB15Y0535,https://dsebd.org/displayCompany.php?name=TB15Y0535,,,,,,,88029530511
15Y BGTB 28/05/2029,,TB15Y0529,https://dsebd.org/displayCompany.php?name=TB15Y0529,,,,,,,88029530511
15Y BGTB 22/05/2028,,TB15Y0528,https://dsebd.org/displayCompany.php?name=TB15Y0528,,,,,,,88029530511
15Y BGTB 23/05/2027,,TB15Y0527,https://dsebd.org/displayCompany.php?name=TB15Y0527,,,,,,,88029530511
15Y BGTB 11/05/2026,,TB15Y0526,https://dsebd.org/displayCompany.php?name=TB15Y0526,,,,,,,88029530511
15Y BGTB 12/05/2025,,TB15Y0525,https://dsebd.org/displayCompany.php?name=TB15Y0525,,,,,,,88029530511
15Y BGTB 27/04/2037,,TB15Y0437,https://dsebd.org/displayCompany.php?name=TB15Y0437,,,,,,,88029530511
15Y BGTB 27/04/2031,,TB15Y0431,https://dsebd.org/displayCompany.php?name=TB15Y0431,,,,,,,88029530511
15Y BGTB 23/04/2029,,TB15Y0429,https://dsebd.org/displayCompany.php?name=TB15Y0429,,,,,,,88029530511
15Y BGTB 17/04/2028,,TB15Y0428,https://dsebd.org/displayCompany.php?name=TB15Y0428,,,,,,,88029530511
15Y BGTB 18/04/2027,,TB15Y0427,https://dsebd.org/displayCompany.php?name=TB15Y0427,,,,,,,88029530511
15Y BGTB 13/04/2026,,TB15Y0426,https://dsebd.org/displayCompany.php?name=TB15Y0426,,,,,,,88029530511
15Y BGTB 15/04/2025,,TB15Y0425,https://dsebd.org/displayCompany.php?name=TB15Y0425,,,,,,,88029530511
15Y BGTB 27/03/2039,,TB15Y0339,https://dsebd.org/displayCompany.php?name=TB15Y0339,,,,,,,88029530511
15Y BGTB 27/03/2029,,TB15Y0329,https://dsebd.org/displayCompany.php?name=TB15Y0329,,,,,,,88029530511
15Y BGTB 20/03/2028,,TB15Y0328,https://dsebd.org/displayCompany.php?name=TB15Y0328,,,,,,,88029530511
15Y BGTB 21/03/2027,,TB15Y0327,https://dsebd.org/displayCompany.php?name=TB15Y0327,,,,,,,88029530511
15Y BGTB 09/03/2026,,TB15Y0326,https://dsebd.org/displayCompany.php?name=TB15Y0326,,,,,,,88029530511
15Y BGTB 10/03/2025,,TB15Y0325,https://dsebd.org/displayCompany.php?name=TB15Y0325,,,,,,,88029530511
15Y BGTB 26/02/2029,,TB15Y0229,https://dsebd.org/displayCompany.php?name=TB15Y0229,,,,,,,88029530511
15Y BGTB 20/02/2028,,TB15Y0228,https://dsebd.org/displayCompany.php?name=TB15Y0228,,,,,,,88029530511
15Y BGTB 22/02/2027,,TB15Y0227,https://dsebd.org/displayCompany.php?name=TB15Y0227,,,,,,,88029530511
15Y BGTB 09/02/2026,,TB15Y0226,https://dsebd.org/displayCompany.php?name=TB15Y0226,,,,,,,88029530511
15Y BGTB 10/02/2025,,TB15Y0225,https://dsebd.org/displayCompany.php?name=TB15Y0225,,,,,,,88029530511
15Y BGTB 29/01/2029,,TB15Y0129,https://dsebd.org/displayCompany.php?name=TB15Y0129,,,,,,,88029530511
15Y BGTB 16/01/2028,,TB15Y0128,https://dsebd.org/displayCompany.php?name=TB15Y0128,,,,,,,88029530511
15Y BGTB 18/01/2027,,TB15Y0127,https://dsebd.org/displayCompany.php?name=TB15Y0127,,,,,,,88029530511
15Y BGTB 13/01/2025,,TB15Y0125,https://dsebd.org/displayCompany.php?name=TB15Y0125,,,,,,,88029530511
10Y BGTB 21/12/2032,,TB10Y1232,https://dsebd.org/displayCompany.php?name=TB10Y1232,,,,,,,88029530511
10Y BGTB 18/12/2029,,TB10Y1229,https://dsebd.org/displayCompany.php?name=TB10Y1229,,,,,,,88029530511
10Y BGTB 22/11/2028,,TB10Y1128,https://dsebd.org/displayCompany.php?name=TB10Y1128,,,,,,,88029530511
10Y BGTB 19/10/2031,,TB10Y1031,https://dsebd.org/displayCompany.php?name=TB10Y1031,,,,,,,88029530511
10Y BGTB 21/10/2030,,TB10Y1030,https://dsebd.org/displayCompany.php?name=TB10Y1030,,,,,,,88029530511
10Y BGTB 18/10/2027,,TB10Y1027,https://dsebd.org/displayCompany.php?name=TB10Y1027,,,,,,,88029530511
10Y BGTB 21/09/2032,,TB10Y0932,https://dsebd.org/displayCompany.php?name=TB10Y0932,,,,,,,88029530511
10Y BGTB 16/08/2033,,TB10Y0833,https://dsebd.org/displayCompany.php?name=TB10Y0833,,,,,,,88029530511
10Y BGTB 21/08/2029,,TB10Y0829,https://dsebd.org/displayCompany.php?name=TB10Y0829,,,,,,,88029530511
10Y BGTB 19/08/2025,,TB10Y0825,https://dsebd.org/displayCompany.php?name=TB10Y0825,,,,,,,88029530511
10Y BGTB 25/07/2031,,TB10Y0731,https://dsebd.org/displayCompany.php?name=TB10Y0731,,,,,,,88029530511
10Y BGTB 22/07/2030,,TB10Y0730,https://dsebd.org/displayCompany.php?name=TB10Y0730,,,,,,,88029530511
10Y BGTB 20/07/2026,,TB10Y0726,https://dsebd.org/displayCompany.php?name=TB10Y0726,,,,,,,88029530511
10 Years BGTB 20/06/2034,,TB10Y0634,https://dsebd.org/displayCompany.php?name=TB10Y0634,,,,,,,88029530511
10Y BGTB 22/06/2032,,TB10Y0632,https://dsebd.org/displayCompany.php?name=TB10Y0632,,,,,,,88029530511
10Y BGTB 17/06/2030,,TB10Y0630,https://dsebd.org/displayCompany.php?name=TB10Y0630,,,,,,,88029530511
10Y BGTB 19/06/2029,,TB10Y0629,https://dsebd.org/displayCompany.php?name=TB10Y0629,,,,,,,88029530511
10Y BGTB 20/06/2028,,TB10Y0628,https://dsebd.org/displayCompany.php?name=TB10Y0628,,,,,,,88029530511
10Y BGTB 25/05/2032,,TB10Y0532,https://dsebd.org/displayCompany.php?name=TB10Y0532,,,,,,,88029530511
10Y BGTB 19/05/2031,,TB10Y0531,https://dsebd.org/displayCompany.php?name=TB10Y0531,,,,,,,88029530511
10Y BGTB 07/05/2030,,TB10Y0530,https://dsebd.org/displayCompany.php?name=TB10Y0530,,,,,,,88029530511
10Y BGTB 17/04/2034,,TB10Y0434,https://dsebd.org/displayCompany.php?name=TB10Y0434,,,,,,,88029530511
10Y BGTB 17/04/2029,,TB10Y0429,https://dsebd.org/displayCompany.php?name=TB10Y0429,,,,,,,88029530511
10Y BGTB 22/04/2025,,TB10Y0425,https://dsebd.org/displayCompany.php?name=TB10Y0425,,,,,,,88029530511
10Y BGTB 15/03/2033,,TB10Y0333,https://dsebd.org/displayCompany.php?name=TB10Y0333,,,,,,,88029530511
10Y BGTB 22/02/2034,,TB10Y0234,https://dsebd.org/displayCompany.php?name=TB10Y0234,,,,,,,+88 02 9530511
10Y BGTB 17/02/2031,,TB10Y0231,https://dsebd.org/displayCompany.php?name=TB10Y0231,,,,,,,88029530511
10Y BGTB 19/01/2032,,TB10Y0132,https://dsebd.org/displayCompany.php?name=TB10Y0132,,,,,,,88029530511
10Y BGTB 22/01/2030,,TB10Y0130,https://dsebd.org/displayCompany.php?name=TB10Y0130,,,,,,,88029530511
10Y BGTB 18/01/2027,,TB10Y0127,https://dsebd.org/displayCompany.php?name=TB10Y0127,,,,,,,88029530511
10Y BGTB 20/01/2026,,TB10Y0126,https://dsebd.org/displayCompany.php?name=TB10Y0126,,,,,,,88029530511
Tamijuddin Textile Mills PLC,"Anabil Tower, 14th & 15th Floor, Plot:03, Block# NW (J), Kemal Ataturk Avenue, Gulshan-02, Dhaka-1212.",TAMIJTEX,https://dsebd.org/displayCompany.php?name=TAMIJTEX,9639203070,,,,,+88 01755 555 257,9639203070
Tallu Spinning Mills Ltd.,"South Avenue Tower(6th Floor),House# 50, Road# 03, Gulshan-1, Dhaka-1212.",TALLUSPIN,https://dsebd.org/displayCompany.php?name=TALLUSPIN,88-02-222262803, 88-02-222260264, 88-02-222260458,,,+88 01999 055 485,"88-02-222262803, 88-02-222260264, 88-02-222260458"
Takaful Islami Insurance Limited,"Monir Tower(7th, 8th, & 9th Floors),167/1, DIT Extension Road, Motijheel (Fakirapool), Dhaka-1000",TAKAFULINS,https://dsebd.org/displayCompany.php?name=TAKAFULINS,41070071-3,,,,,01711-409253,PABX : 41070071-3 (Ext. 104)    41070084 (Direct)
Sunlife Insurance Company Limited,"BTA Tower, 29 Kemal Ataturk Avenue, Road No-17. Banani. Dhaka",SUNLIFEINS,https://dsebd.org/displayCompany.php?name=SUNLIFEINS,9821562 9821563 9821564,,,,,+88 01717 209 439,9821562 9821563 9821564 Ext: 107
Summit Power Limited,"Summit Centre (9th floor), 18, Karwan Bazar C/A, Dhaka-1215",SUMITPOWER,https://dsebd.org/displayCompany.php?name=SUMITPOWER,'[+8802] 55012255-59,  Ext - 151,500,255,1708804819,01711 623 171,"+8802] 55012255-59, Ext. - 148"
Stylecraft Limited,"Red Crescent Concord Tower 14th Floorrn17, Mohakhali C/ArnDhaka-1212, Bangladesh",STYLECRAFT,https://dsebd.org/displayCompany.php?name=STYLECRAFT,222293523,222285127,222260872,,,1711527578,222260343 -extension-104
Standard Bank PLC.,"Metropoliton Chamber, 122 - 124 Motijheel C/A (3rd Floor),  Dhaka - 1000",STANDBANKL,https://dsebd.org/displayCompany.php?name=STANDBANKL,(8802) 7175698,7169134,9558375,,,8.80E+12,
Standard Insurance Limited,"Civil Engineer\'s Bhaban, 69, Mohakhali C/A, (5th Level), Dhaka-1212, Bangladesh.",STANDARINS,https://dsebd.org/displayCompany.php?name=STANDARINS,2222280706,2222281435,2222288548,,,+88 01819 260 838,"02222280706, 02222281435, 02222288548  (Ext-102)"
Standard Ceramic Industries Ltd.,"Amin Court  (3rd Floor ), 62 - 63, Motijheel C/A, Dhaka - 1000",STANCERAM,https://dsebd.org/displayCompany.php?name=STANCERAM,-223381077, Ext-14,,,,+88 01575 648 846,880-2-223381947-8 Ext-14
S. S. Steel Limited,"The Pearl Trade Center, Cha - 90/3 Pragati Sarani, North Badda, Dhaka-1212",SSSTEEL,https://dsebd.org/displayCompany.php?name=SSSTEEL,+88-02-222297544  &  +88-02-222292346 Ext-102,,,,,8.80E+12,+88-02-222297544  &  +88-02-222292346 Ext-102
Square Pharmaceuticals PLC.,"Square Centre, 48, Mohakhali C/A, Dhaka - 1212",SQURPHARMA,https://dsebd.org/displayCompany.php?name=SQURPHARMA,880-2-8833047-56,2222295007,2222285870,,,+88 01713 328 886,"880-2-8833047-56, 02222295007,02222285870  Ex- 229"
Square Textiles PLC.,"Square Centre,  48, Mohakhali C/A,  Dhaka - 1212",SQUARETEXT,https://dsebd.org/displayCompany.php?name=SQUARETEXT,02-8833047-56,2222295007,,,,+88 01730 328 776,"880-2-8833047-56, 02222295007 Ext.-585"
Shahjibazar Power Co. Ltd.,"Youth Tower 822/2, Rokeya Sarani (8th floor), Dhaka-1216",SPCL,https://dsebd.org/displayCompany.php?name=SPCL,09678221177 Ext-112,113,,,,+88 01720 596 095,"09678221177 Ext-112, 113"
Shinepukur Ceramics Limited,"17, Dhanmondi, Road No 2, Dhaka-1205",SPCERAMICS,https://dsebd.org/displayCompany.php?name=SPCERAMICS,41060531-5, 41060544-8 , 41060579-3 Ext.10146,,,+88 01711 522 029,"58611891-5, 58612040-7   Ext.-10140"
Southeast Bank PLC,"Eunoos Trade Centre ( 2nd,3rd, 4th, 6th & 16th Floor), 52-53 Dilkusha C/A ,  Dhaka - 1000",SOUTHEASTB,https://dsebd.org/displayCompany.php?name=SOUTHEASTB,+88 01700706532, 88 02 223387271,,,,1819790198,02-223355264
Sonargaon Textiles Ltd.,"Khansons Centre (8th & 9th Floors), 37, Kawranbazar, Dhaka- 1215.",SONARGAON,https://dsebd.org/displayCompany.php?name=SONARGAON,55012652,55012656,55012657,1705583480,,"01746610299, 017055083480",-55011780
Sonar Bangla Insurance Ltd.,"Paramount Heights (14th Floor) ,65/2/1, Box Culvert Road, Purana Paltan, Dhaka-1000",SONARBAINS,https://dsebd.org/displayCompany.php?name=SONARBAINS,9574211-9571402 (PABX),,,,,+88 01717 356 168,9574211-9571402 (Ext-29)
Sonali Paper & Board Mills Ltd.,"51, Central Road, Dhanmondi, Dhaka-1205",SONALIPAPR,https://dsebd.org/displayCompany.php?name=SONALIPAPR,58610056-59,9677781,,,,+88 01678 012 173,58610056-59
Sonali Life Insurance Company Limited,"Rupali Bima Bhaban, 7, Rajuk Avenue, Dhaka-1000",SONALILIFE,https://dsebd.org/displayCompany.php?name=SONALILIFE,9678200004,,,,,"+88 01955-571002, 01779929017",
Sonali Aansh Industries Limited,"Lal Bhaban (1st Floor), 18, Rajuk Avenue, G.P.O. Box # 515, Motijheel, Dhaka-1000",SONALIANSH,https://dsebd.org/displayCompany.php?name=SONALIANSH,8.81E+12,,,,,+88 01713 399 061,8.81E+12
SK Trims & Industries Limited,"Hose:25 (3rd floor), Road-11, Sector-10, Uttara, Dhaka",SKTRIMS,https://dsebd.org/displayCompany.php?name=SKTRIMS,+88 02 9857613,,,,,+88 01708 860 503,
SJIBL Mudaraba Perpetual Bond,"Shahljalal Islami Bank Tower, Plot - 4, Block - CWN (C), Gulshan, Dhaka",SJIBLPBOND,https://dsebd.org/displayCompany.php?name=SJIBLPBOND,,,,,,+88 01755 556 060,
Sena Insurance PLC,"SKS Tower (12th floor), 7 VIP Road, Mohakhali, Dhaka-1206.",SIPLC,https://dsebd.org/displayCompany.php?name=SIPLC,02-55058455-7,,,,,+88 01712 161 604,+88 02 55058455-57 Ext-123
Sinobangla Industries Ltd.,"Navana DH Tower, 9th Floor (Suit # 901 & 902), 6 Panthapath, Dhaka-1215, Bangladesh.",SINOBANGLA,https://dsebd.org/displayCompany.php?name=SINOBANGLA,880 - 02 - 55013465-6,,,,,1711103201,02-55013465
Singer Bangladesh Limited,"Gulshan Centre Point (21st Floor), House No. 23-26, Road No. 90, Gulshan-2, Dhaka-1212.",SINGERBD,https://dsebd.org/displayCompany.php?name=SINGERBD,16482 (Help Line),2226601724,,,,+88 01616 667 800,880 2223 384438
Simtex Industries Limited,"Khagan, Birulia, Savar, Dhaka-1341",SIMTEX,https://dsebd.org/displayCompany.php?name=SIMTEX,+88 02-8881278-79,1759666333,,,,+88 01404451250,
Silva Pharmaceuticals Limited,"House # 65, Road # 8/A (New), Dhanmondi, Dhaka-1209.",SILVAPHL,https://dsebd.org/displayCompany.php?name=SILVAPHL,-8191250, +88-02-9146009,,,,1711891686,-9146155
Silco Pharmaceuticals Limited,"41 Nurani, Bankalapara, Subid Bazar, Sylhet",SILCOPHL,https://dsebd.org/displayCompany.php?name=SILCOPHL,0821-722241, '01623618639,,,,8.80E+12,0821-722241
Sikder Insurance Company Limited,"295/J/14, Rayer Bazar, Monica Estate, Dhaka-1209.",SICL,https://dsebd.org/displayCompany.php?name=SICL,02-223371513-17,,,,,1747472696,
Social Islami Bank PLC.,"City Center (20th Floor) 90/1, Motijheel C/A Dhaka",SIBL,https://dsebd.org/displayCompany.php?name=SIBL,88-09612001122, Ext-50431,,,,+88 1713 139 303,09612001122 Ext:50271
Shyampur Sugar Mills Ltd.,"Bangladesh Sugar and Food Industries Corporation, Chini Shilpa Bhaban, Share office (5th floor), 3 Dilkusha C/A, Dhaka.",SHYAMPSUG,https://dsebd.org/displayCompany.php?name=SHYAMPSUG,9515668,,,,,+88 01795 108 465,
Shurwid Industries Limited,"Main Office: BiMile, Konabari, Gazipur-1346.rnShare Office: Flat-B-6, House No-2, Level-7, Road -7,Rupayan prime, Dhanmondi, Dhaka-1205.",SHURWID,https://dsebd.org/displayCompany.php?name=SHURWID,880-2-9640315, 02- 9612213,9640316,8.80193E+12,,,
Shepherd Industries PLC,"House # 24, Road # 04, Sector # 04, Uttara, Dhaka-1230",SHEPHERD,https://dsebd.org/displayCompany.php?name=SHEPHERD,48963340-42 Ext.111,,,,,+88 01966 660 445,48963340-42 Ext.111
Shasha Denims Limited,"Shasha Denims Ltd., House # 08 (5th & 6th floor), Road # 04, DOHS Banani, Dhaka-1206.",SHASHADNIM,https://dsebd.org/displayCompany.php?name=SHASHADNIM,+88 02 9836102, +88 02 9836104, +88 02 9836106, +88 02 9836108,,+88 01730 022 143,8802 9850548( EX - 104)
Sharp Industries PLC,"House No: 11, 5th Floor, Unit-5-B, Road No: 12, Niketon, Gulshan-1, Dhaka-1212",SHARPIND,https://dsebd.org/displayCompany.php?name=SHARPIND,+88 02 48810053,,,,,1819184789,88-02-48810053  (Ext-233)
Shahjalal Islami Bank PLC.,"Shahjalal Islami Bank Tower, Plot No.04, Block-CWN©rnGulshan Avenue, Dhaka-1212",SHAHJABANK,https://dsebd.org/displayCompany.php?name=SHAHJABANK,02-222283457 (Hunting) PABX-Ext. 1001 to1005,,,,,1755556060,02-222283457 (Hunting) Ext-1000
SEML Lecture Equity Management Fund,"Finance Square, Floor-14 Plot-22/A, Road-102 & 103, Block-CEN(D), Gulshan, Dhaka-1212",SEMLLECMF,https://dsebd.org/displayCompany.php?name=SEMLLECMF,+88 02226602590, +88 01886040806,,,,+880 1918-903790,N/A
SEML IBBL Shariah Fund,"Finance Square, Floor-14 Plot-22/A, Road-102 & 103, Block-CEN(D), Gulshan, Dhaka-1212.",SEMLIBBLSF,https://dsebd.org/displayCompany.php?name=SEMLIBBLSF,+88 02226602590, +88 01886040806,,,,+880 1918-903790,N/A
SEML FBLSL Growth Fund,"Finance Square, Floor-14 Plot-22/A, Road-102 & 103, Block-CEN(D), Gulshan, Dhaka-1212",SEMLFBSLGF,https://dsebd.org/displayCompany.php?name=SEMLFBSLGF,+88 02226602590, +88 01886040806,,,,+880 1918-903790,N/A
Southeast Bank 1st Perpetual Bond,"Eunoos Trade Centre ( 2nd,3rd, 4th, 6th & 16th Floor), 52-53 Dilkusha C/A, Dhaka - 1000.",SEB1PBOND,https://dsebd.org/displayCompany.php?name=SEB1PBOND,+88 01700706532, 88 02 223387271,,,,,
Sea Pearl Beach Resort & Spa Limited,"Advance Noorani Tower (13th Floor), 01 Mohakhali, Dhaka-1212",SEAPEARL,https://dsebd.org/displayCompany.php?name=SEAPEARL,,,,,,+88 01844 016 004,
SBAC Bank PLC.,"Head Office, BSC Tower, (5th - 16th Floor), 2-3 Rajuk Avenue, Motijheel, Dhaka-1000",SBACBANK,https://dsebd.org/displayCompany.php?name=SBACBANK,+88 02 223357201-12,,,,,8.80E+12,"+8802 223357201-12, Ext-205."
Savar Refractories Limited,"108, Air Port Road (1st Floor), Tejgaon, Dhaka - 1215",SAVAREFR,https://dsebd.org/displayCompany.php?name=SAVAREFR,(8802) 58155615,,,,,1312631830,9115383 Ext-106
Summit Alliance Port Limited,"Corporate Office: The Alliance Building (8th Floor), 63 Pragati Sarani, Baridhara,Dhaka-1212rnHead Office: Katghar, South patenga, Chattogram- 4204",SAPORTL,https://dsebd.org/displayCompany.php?name=SAPORTL,+88 02-333300067 , +88 02-333300070-1, +88 02 55048284-6,,,1970025057,"+88 02 55048284-6, Ext-404"
Sandhani Life Insurance Company Ltd.,"Sandhani Life tower, Rajuk Plot No-34, Banglamotor, Dhaka - 1000",SANDHANINS,https://dsebd.org/displayCompany.php?name=SANDHANINS,02-55168181-5,9611197,9664931, 9661241 Hot Line: 09610003366,,1817030900,"02-55168181-5, 9611197, 9664931, 9661241"
Samorita Hospital Limited,"89/1, Panthapath, Dhaka-1215.",SAMORITA,https://dsebd.org/displayCompany.php?name=SAMORITA,48117618-9,48114505,48116739, 48117614 Ext:146,,+88 01819 247 105,48117614 Ext: 190
Samata Leather Complex Ltd.,"120, Sher-Bangla Road, Hazaribagh, Dhaka-1209.",SAMATALETH,https://dsebd.org/displayCompany.php?name=SAMATALETH,9662731,8611102,8611372,,,,
Salvo Chemical Industry Limited,"Suite No. 401, (3rd Floor), 210-211, Nawabpur Road, Dhaka-1100",SALVOCHEM,https://dsebd.org/displayCompany.php?name=SALVOCHEM,-41052982,41053069,1613030092,,,1711823084,
S. Alam Cold Rolled Steels Ltd.,"S. Alam Bhaban, 2119, Asadgonj, Chattogram",SALAMCRST,https://dsebd.org/displayCompany.php?name=SALAMCRST,88-031-611195,611426,638258, Ext-507,  880-2-9560631(Liasion office-Dhaka),+88 01710 535089,"88-031-611195, 611426, 638258, Ext-507, 505"
Saiham Textile Mills Ltd.,"Saiham Tower, House #34 (11th Floor), Road #136, Gulshan-1, Dhaka-1212.",SAIHAMTEX,https://dsebd.org/displayCompany.php?name=SAIHAMTEX,222263323,222262284,222287441,222235871,,+88 01916 754 255,222235871
Saiham Cotton Mills Limited,"Saiham Tower,House #34 (11th Floor),Road #136, Gulshan-1, Dhaka-1212.",SAIHAMCOT,https://dsebd.org/displayCompany.php?name=SAIHAMCOT,222263323,222262284,222287441,222235871,,+88 01818 062 160,222235871
SAIF Powertec Limited,"72, Mohakhali C/A, Rupayan Center(8th Floor), Dhaka-1212.",SAIFPOWER,https://dsebd.org/displayCompany.php?name=SAIFPOWER,(88-02)  9856358,9857902,8.80967E+12,,,1714012508,8.81E+12
Safko Spinnings Mills Ltd.,"House # 10 (6th Floor), Block-B, Road # 1, Niketan, Gulshan, Dhaka-1212",SAFKOSPINN,https://dsebd.org/displayCompany.php?name=SAFKOSPINN,02-222280092,,,,,+88 01671 012 818,9841092
Rupali Life Insurance Company Limited,"Rupali Life Tower, 50, Kakrail, Dhaka-1000",RUPALILIFE,https://dsebd.org/displayCompany.php?name=RUPALILIFE,8392361-4 Ex-125 Direct: 8392369,,,,,"+88 01847 133 722, +88 01618 374 484","8392361-4, Ext-125, Direct: 8392369"
Rupali Insurance Company Ltd.,"RUPALI BIMA BHABAN, 7, RAJUK AVENUE , DHAKA- 1000",RUPALIINS,https://dsebd.org/displayCompany.php?name=RUPALIINS,2223385625, 02223385626 & 02223387238,,,,+88 01818 680 664,2223385625
Rupali Bank PLC.,"Rupali Bank Bhaban, 34, Dilkusha C/A,  Dhaka - 1000",RUPALIBANK,https://dsebd.org/displayCompany.php?name=RUPALIBANK,02-223 389 505,,,,,"+88 01810 027 615, +88 01754 296 619",02 223 355 612
Runner Automobiles PLC,"138/1, Tejgaon I/A, Tejgaon, Dhaka - 1208",RUNNERAUTO,https://dsebd.org/displayCompany.php?name=RUNNERAUTO,8870160,,,,,+88 01730 405 010,"8870160, Ext-460"
Ratanpur Steel Re-Rolling Mills Limited,"Nahar Mansion, 116 C.D.A Avenue, Muradpur, Chittagong. Share Office: 291, Fakirapool (Jamidarbari), Apt # B-9, Inner Circular Road Arambagh, Dhaka-1000.",RSRMSTEEL,https://dsebd.org/displayCompany.php?name=RSRMSTEEL,+88 031 652255-57, +88 02 7195840-1,,,,1755553018,+88 02 7191740
Robi Axiata PLC.,"53, Gulshan South Avenue, Gulshan-1, Dhaka-1212.",ROBI,https://dsebd.org/displayCompany.php?name=ROBI,8.80189E+12, +88 02 9885463,,,,8.80E+12,N/A
Ring Shine Textiles Limited,"House # 05, Road # 06, Block # K, Baridhara Model Town, Gulshan, Dhaka - 1212.",RINGSHINE,https://dsebd.org/displayCompany.php?name=RINGSHINE,880-2-9885580,8855808,,,,+88 01713 048612,"+880299688960 Ext-105, Fax: +880299688960, 996688961"
Republic Insurance Company Limited,"HR Bhaban (9th Floor), 26/1, Kakrail, Dhaka-1000",REPUBLIC,https://dsebd.org/displayCompany.php?name=REPUBLIC,58313334-38,48315809,,,,+88 01714 006 287,58313334-38 (Ext-104)
Renwick Jajneswar & Co (Bd) Ltd.,"Bangladesh Sugar and Food Industries Corporation, Chini Shilpa Bhaban, Share office (5th floor), 3 Dilkusha C/A, Dhaka.",RENWICKJA,https://dsebd.org/displayCompany.php?name=RENWICKJA,9565868,9515667,,,,+88 01747 224 411,9515667
Renata PLC,"Plot # 1, Milk Vita Road, Section-7, Mirpur, Dhaka-1216",RENATA,https://dsebd.org/displayCompany.php?name=RENATA,8001450,8001454,,,,+88 01819 256 611,"8001450-54, ext:201"
Reliance Insurance Ltd.,"SHANTA WESTERN TOWER (LEVEL-5)rn186 BIR UTTAM MIR SHAWKAT ALI SHORAKrnTEJGAON I/A, DHAKA-1208",RELIANCINS,https://dsebd.org/displayCompany.php?name=RELIANCINS,-1714014807, '+88-02-8878836-44 EXT: 504,,,,-1713440865,088-02-8878836-44 EXT: 103
Reliance One the first scheme of Reliance Insurance Mutual Fund,"AIMS of Bangladesh Limited, Unique Trade Centre (UTC), Level-6 (SW), 8 Panthopath,Karwan Bazar, Dhaka-1215.",RELIANCE1,https://dsebd.org/displayCompany.php?name=RELIANCE1,48120558-9,,,,,8.80E+12,+(880-2) 481 20558-59 Ext-201
Regent Textile Mills Limited,"H G. Tower, 1182, Jubilee Road, Chattogram- 4000, Bangladesh",REGENTTEX,https://dsebd.org/displayCompany.php?name=REGENTTEX,+88 031 2868841-3, +88031 671170,672024,671439,,1730700417,+88031-2868841-3 Ext. 308
Reckitt Benckiser (Bangladesh) PLC,"The Glass House, 9th & 10th floor, Plot # 02, Block # SE (B), 38, Gulshan Avenue, Dhaka-1212",RECKITTBEN,https://dsebd.org/displayCompany.php?name=RECKITTBEN,-222290684, 71 & 72 Ext. 411,,,,+88 01777 758 920,
Rangpur Dairy & Food Products Ltd.,"Head Office : 23, Adarsha Chayaneer, (3rd floor), Ring Road, Adabor, Dhaka-1207.",RDFOOD,https://dsebd.org/displayCompany.php?name=RDFOOD,01978 090829,,,,,01978 090802,
